"Date","Average Transaction Fees"
"2021-12-21","23.29339185298222"
"2021-12-20","23.892411482574882"
"2021-12-19","22.289345961113288"
"2021-12-18","23.102413511557447"
"2021-12-17","30.888562183668967"
"2021-12-16","35.85048927424558"
"2021-12-15","29.168436869483646"
"2021-12-14","25.325229868774112"
"2021-12-13","27.06788192097619"
"2021-12-12","23.004083382608265"
"2021-12-11","26.28804497133212"
"2021-12-10","30.17121411718786"
"2021-12-09","28.16888850356325"
"2021-12-08","27.528678216007936"
"2021-12-07","33.181438414859244"
"2021-12-06","37.50008281523433"
"2021-12-05","30.87894770968785"
"2021-12-04","47.621459502410055"
"2021-12-03","37.869819435784386"
"2021-12-02","41.75651292018002"
"2021-12-01","51.25909944756133"
"2021-11-30","53.921917572986544"
"2021-11-29","43.48445966977786"
"2021-11-28","43.26326878453747"
"2021-11-27","40.90909968483109"
"2021-11-26","35.53796726440823"
"2021-11-25","43.15958688522665"
"2021-11-24","41.46405794324955"
"2021-11-23","47.07004535828442"